fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.00021358393848782572,0.9513693807983965
0.0,0.00042716787697565144,0.9509605347243961
0.0002144082332761578,0.00042716787697565144,0.9464347635383354
0.0002144082332761578,0.0019222554463904314,0.9396701895233511
0.0006432246998284735,0.0019222554463904314,0.9333406733657307
0.0006432246998284735,0.003630926954293037,0.9224721129001985
0.0008576329331046312,0.003630926954293037,0.9224716246562746
0.0008576329331046312,0.00598035027765912,0.9183571688595145
0.001072041166380789,0.00598035027765912,0.9174543286162407
0.001072041166380789,0.006834686031610423,0.9163295840977109
0.0015008576329331046,0.006834686031610423,0.9157438263916776
0.0015008576329331046,0.007689021785561726,0.9152710601828846
0.0017152658662092624,0.007689021785561726,0.9146535543361939
0.0017152658662092624,0.008116189662537377,0.9135855409911735
0.0019296740994854203,0.008116189662537377,0.9131286151665946
0.0019296740994854203,0.008756941478000855,0.9119525781306307
0.002144082332761578,0.008756941478000855,0.9116886015985958
0.002144082332761578,0.009184109354976506,0.9109204157089096
0.0023584905660377358,0.009184109354976506,0.9106341518610191
0.0023584905660377358,0.009397693293464331,0.9101754785292855
0.002572898799313894,0.009397693293464331,0.9092890955141324
0.002572898799313894,0.009824861170439982,0.9086353507066681
0.003001715265866209,0.009824861170439982,0.90858928870286
0.003001715265866209,0.012387868432293891,0.9051613560032707
0.003216123499142367,0.012387868432293891,0.9051235327735284
0.003216123499142367,0.016659547202050404,0.9005082702157426
0.003430531732418525,0.016659547202050404,0.9001292734222104
0.003430531732418525,0.017300299017513884,0.8997451116735571
0.003644939965694683,0.017300299017513884,0.8994782595728921
0.003644939965694683,0.018154634771465186,0.8988845862243541
0.0038593481989708405,0.018154634771465186,0.8987744646510416
0.0038593481989708405,0.018795386586928663,0.8984903317115569
0.004073756432246998,0.018795386586928663,0.8982312734011363
0.004073756432246998,0.021358393848782572,0.8956634118793567
0.004288164665523156,0.021358393848782572,0.8949396617149334
0.004288164665523156,0.021999145664246048,0.8945791648582622
0.004502572898799314,0.021999145664246048,0.8945721196755752
0.004502572898799314,0.022639897479709525,0.8933880312773625
0.0047169811320754715,0.022639897479709525,0.8930170757251207
0.0047169811320754715,0.024562152926099957,0.8911355663255883
0.005145797598627788,0.024562152926099957,0.8903404311820562
0.005145797598627788,0.027765912003417343,0.8880505727104521
0.005360205831903945,0.027765912003417343,0.8879798846598427
0.005360205831903945,0.02947458351131995,0.886698854681162
0.005574614065180103,0.02947458351131995,0.8866633413378774
0.005574614065180103,0.029688167449807776,0.8866525180996838
0.005789022298456261,0.029688167449807776,0.8865786967999814
0.005789022298456261,0.0299017513882956,0.88654327046089
0.006217838765008576,0.0299017513882956,0.8859842588070521
0.006217838765008576,0.0382315249893208,0.8810613852868425
0.006432246998284734,0.0382315249893208,0.8806786037418872
0.006432246998284734,0.03844510892780863,0.8805617869384188
0.0066466552315608916,0.03844510892780863,0.8803929092482631
0.0066466552315608916,0.039513028620247755,0.8799707368481778
0.007289879931389366,0.039513028620247755,0.8796858929100373
0.007289879931389366,0.03972661255873558,0.8796850647567822
0.007504288164665523,0.03972661255873558,0.8795558763182946
0.007504288164665523,0.04421187526697992,0.8774103055708042
0.007718696397941681,0.04421187526697992,0.8773424382929925
0.007718696397941681,0.04527979495941905,0.8764312543660019
0.007933104631217838,0.04527979495941905,0.87637305868819
0.007933104631217838,0.047202050405809486,0.8752928599692991
0.008147512864493996,0.047202050405809486,0.8752572362287142
0.008147512864493996,0.04997864160615122,0.8747063433250456
0.008361921097770154,0.04997864160615122,0.8744799994619052
0.008361921097770154,0.05040580948312687,0.8741066058151287
0.008576329331046312,0.05040580948312687,0.8740854798159248
0.008576329331046312,0.05061939342161469,0.8739524642931463
0.00879073756432247,0.05061939342161469,0.873735600728563
0.00879073756432247,0.051900897052541646,0.8733831334226878
0.009005145797598629,0.051900897052541646,0.8731982996806971
0.009005145797598629,0.052755232806492955,0.8729018442427257
0.009219554030874785,0.052755232806492955,0.8728390936241932
0.009219554030874785,0.05296881674498078,0.8727974478019285
0.009433962264150943,0.05296881674498078,0.872584046147943
0.009433962264150943,0.05681332763776164,0.8705104598571203
0.009648370497427101,0.05681332763776164,0.8704191843415358
0.009648370497427101,0.05958991883810338,0.8686246335246649
0.00986277873070326,0.05958991883810338,0.8686214620468558
0.00986277873070326,0.06001708671507903,0.8684799053183337
0.010077186963979417,0.06001708671507903,0.8684129946167276
0.010077186963979417,0.060657838530542504,0.8681346655167927
