Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6665953349026321,0.6744652406417112,0.6465185818026484,0.660196292257361,0.7259293557385205
Random Forest,0.8518082602182752,0.873217115689382,0.8237932507475438,0.8477854709308715,0.9255453442731294
XGBoost,0.857907126043227,0.9044862518089725,0.8009397693293464,0.8495695514272769,0.9244839960419196
Support Vector Machine,0.7130323132891077,0.7845759817871372,0.5888509184109355,0.6727672035139092,0.7827800514066865
