Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7428571428571429,0.7006802721088435,0.7862595419847328,0.7410071942446043,0.8173574465905016
Random Forest,0.825,0.8153846153846154,0.8091603053435115,0.8122605363984674,0.9151083559608586
XGBoost,0.8285714285714286,0.8217054263565892,0.8091603053435115,0.8153846153846154,0.916030534351145
Support Vector Machine,0.8178571428571428,0.7941176470588235,0.8244274809160306,0.8089887640449438,0.8941544136482401
